Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests,WHO Region
Afghanistan,Asia,39009447,36896,1298,25840,9758,90396,EasternMediterranean
Albania,Europe,2877470,6016,188,3155,2673,38997,Europe
Algeria,Africa,43926079,33626,1273,23238,9115,0,Africa
Andorra,Europe,77278,944,52,828,64,3750,Europe
Angola,Africa,32956300,1483,64,520,899,64747,Africa
Antigua and Barbuda,North America,98010,92,3,76,13,1500,America
Argentina,South America,45236884,228195,4251,99852,124092,794544,America
Armenia,Asia,2963811,39819,772,31556,7491,171600,Europe
Aruba,North America,106812,263,3,114,146,14047,Africa
Australia,Australia/Oceania,25528864,19890,255,10941,8694,4631419,WesternPacific
Austria,Europe,9011577,21696,719,19596,1381,937275,Europe
Azerbaijan,Asia,10148243,33247,479,29275,3493,766179,Europe
Bahamas,North America,393616,761,14,91,656,4814,America
Bahrain,Asia,1706669,42889,156,39945,2788,876700,EasternMediterranean
Bangladesh,Asia,164851401,249651,3306,143824,102521,1225124,South-EastAsia
Barbados,North America,287411,133,7,100,26,12233,America
Belarus,Europe,9449001,68503,580,63756,4167,1344303,Europe
Belgium,Europe,11594739,71158,9859,17661,43638,1767120,Europe
Belize,North America,398312,86,2,31,53,3679,America
Benin,Africa,12151976,1936,38,1600,298,93677,Africa
Bermuda,North America,62254,157,9,144,4,26352,America
Bhutan,Asia,772443,105,0,93,12,54589,South-EastAsia
Bolivia,South America,11688459,86423,3465,27373,55585,183583,America
Bosnia and Herzegovina,Europe,3278650,13396,384,7042,5970,147021,Europe
Botswana,Africa,2356075,804,2,63,739,68423,Africa
Brazil,South America,212710692,2917562,98644,2047660,771258,13206188,America
Brunei ,Asia,437893,141,3,138,0,41148,Africa
Bulgaria,Europe,6942854,13014,435,7374,5205,294087,Europe
Burkina Faso,Africa,20954852,1158,54,961,143,0,Africa
Burundi,Africa,11922216,395,1,304,90,15614,Africa
Cabo Verde,Africa,556581,2734,27,2010,697,61633,Africa
Cambodia,Asia,16741375,243,0,210,33,67807,WesternPacific
Cameroon,Africa,26606188,17718,391,15320,2007,149000,Africa
Canada,North America,37775022,118561,8966,103106,6489,4319172,America
CAR,Africa,4837752,4620,59,1641,2920,29589,Africa
Caribbean Netherlands,North America,26247,13,0,7,6,424,Africa
Cayman Islands,North America,65798,203,1,202,0,31108,Africa
Chad,Africa,16467965,942,76,838,28,0,Africa
Channel Islands,Europe,174022,597,47,533,17,30721,Africa
Chile,South America,19132514,366671,9889,340168,16614,1760615,America
Colombia,South America,50936262,357710,11939,192355,153416,1801835,America
Comoros,Africa,871326,396,7,340,49,0,Africa
Congo,Africa,5530506,3546,58,1589,1899,0,Africa
Costa Rica,North America,5098730,21070,200,7038,13832,96110,America
Croatia,Europe,4102577,5404,155,4688,561,125317,Europe
Cuba,North America,11325899,2775,88,2409,278,285471,America
Curaçao,North America,164161,31,1,28,2,1080,Africa
Cyprus,Asia,1208238,1208,19,856,333,216597,Europe
Czechia,Europe,10711019,17731,390,12320,5021,728670,Europe
Denmark,Europe,5794279,14306,617,12787,902,1654512,Europe
Djibouti,Africa,989387,5330,59,5057,214,59909,EasternMediterranean
Dominica,North America,72004,18,0,18,0,1005,America
Dominican Republic,North America,10858648,76536,1246,40539,34751,281926,America
DRC,Africa,89802183,9309,215,8048,1046,0,Africa
Ecuador,South America,17668824,90537,5877,71318,13342,258582,America
Egypt,Africa,102516525,95006,4951,48898,41157,135000,EasternMediterranean
El Salvador,North America,6489514,19126,513,9236,9377,251271,America
Equatorial Guinea,Africa,1407001,4821,83,2182,2556,44356,Africa
Eritrea,Africa,3551175,282,0,225,57,0,Africa
Estonia,Europe,1326627,2124,63,1954,107,122880,Europe
Eswatini,Africa,1161348,2968,55,1476,1437,20784,Africa
